person_name,team,pot
Person 1,,1
Person 1,,2
Person 1,,3
Person 1,,4
Person 2,,1
Person 2,,2
Person 2,,3
Person 2,,4
Person 3,,1
Person 3,,2
Person 3,,3
Person 3,,4
Person 4,,1
Person 4,,2
Person 4,,3
Person 4,,4
Person 5,,1
Person 5,,2
Person 5,,3
Person 5,,4
Person 6,,1
Person 6,,2
Person 6,,3
Person 6,,4
Person 7,,1
Person 7,,2
Person 7,,3
Person 7,,4
Person 8,,1
Person 8,,2
Person 8,,3
Person 8,,4
Person 9,,1
Person 9,,2
Person 9,,3
Person 9,,4
Person 10,,1
Person 10,,2
Person 10,,3
Person 10,,4
Person 11,,1
Person 11,,2
Person 11,,3
Person 11,,4
Person 12,,1
Person 12,,2
Person 12,,3
Person 12,,4
